drink_id,ingredient_name,quantity,is_allergen
87,Cranberry juice,4 cups,f
87,Sugar,1 1/2 cup,f
87,Pineapple juice,4 cups,f
87,Almond flavoring,1 tblsp,f
87,Ginger ale,2 qt,f
88,gin,6 cl,f
88,Peach Bitters,2 dashes,f
88,Mint,2 Fresh leaves,f
89,Lager,1/2 pint,f
89,Cider,1/2 pint,f
89,Blackcurrant cordial,1 dash,f
90,Light rum,1 1/2 oz,f
90,Lime,Juice of 1/2,f
90,Powdered sugar,1 tsp,f
91,Coffee,3 parts,f
91,Everclear,1 part,f
92,Fruit punch,2 part,f
92,Sprite,1 part,f
92,Tequila,2 shots,f
92,151 proof rum,Float Bacardi,f
93,Gin,1 1/2 oz,f
93,Ginger ale,4 oz,f
93,Lime,1,f
94,Gin,1 2/3 oz,f
94,Dry Vermouth,1/3 oz,f
94,Olive,1,f
95,Scotch,2 1/2 oz,f
95,Dry Vermouth,1 1/2 tsp,f
95,Lemon peel,1 twist of,f
96,Kahlua,,f
96,Sambuca,,f
96,Baileys irish cream,,f
97,Vodka,70ml/2fl oz,f
97,Dry Vermouth,1 tbsp,f
97,Olive Brine,2 tbsp,f
97,Lemon,1 wedge,f
97,Olive,1,f
98,Cherry Heering,1 part,f
98,Soda water,1 part,f
98,Orange juice,1 part,f
98,Ice,cubes,f
99,Dark Rum,5 cl,f
99,Ginger Beer,10 cl,f
100,demerara Sugar,2 tsp,f
100,Lime,1,f
100,Cachaca,2 1/2 oz,f
101,Pisco,5 cl,f
101,Lime Juice,2.5 cl,f
101,Pineapple Syrup,2.5 cl,f
101,St. Germain,1.5 cl,f
101,Angostura Bitters,2 Dashes,f
101,Pepper,Pinch,f
101,Lavender,2 sprigs,f
102,Whiskey,0.75 oz,f
102,Hot Damn,0.25 oz,f
103,Dubonnet Rouge,1 1/2 oz,f
103,Gin,3/4 oz,f
103,Bitters,1 dash,f
103,Lemon peel,1 twist of,f
104,Heavy cream,2 oz,f
104,Milk,6-8 oz,f
104,Cinnamon,1 stick,f
104,Vanilla,1,f
104,Chocolate,2 oz finely chopped dark,f
104,Whipped cream,Fresh,f
105,Absinthe,2 shots,f
105,Champagne,Top,f
106,Chocolate syrup,2 tblsp,f
106,Milk,6 oz whole,f
106,Soda water,6 oz,f
107,Egg yolk,6,f
107,Sugar,1/4 cup,f
107,Milk,2 cups,f
107,Light rum,1/2 cup,f
107,Bourbon,1/2 cup,f
107,Vanilla extract,1 tsp,f
107,Salt,1/4 tsp,f
107,Whipping cream,1 cup,f
107,Egg white,6,f
107,Nutmeg,Ground,f
108,Brandy,3/4 oz,f
108,Gin,3/4 oz,f
108,Sweet Vermouth,3/4 oz,f
108,Carbonated water,,f
108,Lemon peel,,f
109,Vodka,5 cl,f
109,Kahlua,1 cl,f
109,Sugar syrup,1 dash,f
110,Rum,1 shot,f
110,Vanilla syrup,1/2 shot,f
110,Espresso,1 shot,f
110,Coffee,1 shot,f
111,Egg,1/2 cup,f
111,Sugar,3 tblsp,f
111,Condensed milk,13 oz skimmed,f
111,Milk,3/4 cup skimmed,f
111,Vanilla extract,1 tsp,f
111,Rum,1 tsp,f
111,Nutmeg,,f
112,Apricot brandy,3/4 oz,f
112,Gin,1 1/2 oz,f
112,Dry Vermouth,3/4 oz,f
112,Grenadine,1 tsp,f
112,Lemon juice,1/4 tsp,f
112,Cherry,1,f
113,Cachaca,60 ml,f
113,Lime,1,f
113,Elderflower cordial,3 cl,f
114,Egg,6,f
114,Sugar,1/4 cup,f
114,Salt,1/4 tsp,f
114,Milk,1 qt,f
114,Vanilla extract,1 tsp,f
115,Mezcal,2 oz,f
115,Chocolate liqueur,3/4 oz,f
115,Coffee liqueur,1/2 oz,f
116,Rose,750 ml,f
116,Sugar,1/2 cup,f
116,Strawberries,8 oz,f
116,Lemon Juice,2-3 oz,f
117,Coffee,1/2 cup black,f
117,Milk,1/2 cup,f
117,Sugar,1-2 tsp,f
118,Amaretto,1/2 oz,f
118,Creme de Cacao,1/2 oz,f
118,Light cream,2 oz,f
119,Gin,1 1/2 oz,f
119,Sugar,2 tsp superfine,f
119,Lemon juice,1 1/2 oz,f
119,Champagne,4 oz Chilled,f
119,Orange,1,f
119,Maraschino cherry,1,f
120,Vodka,2 oz,f
120,Honey,1 tsp,f
120,Figs,3,f
120,Thyme,1 Sprig,f
120,Angostura Bitters,2 dashes,f
120,Tonic Water,Top,f
121,Blended whiskey,2 oz,f
121,Benedictine,1/2 oz,f
121,Lemon,Juice of 1/4,f
121,Lime,Juice of 1/2,f
122,Yoghurt,1 cup fruit,f
122,Banana,1,f
122,Orange juice,4 oz frozen,f
122,Fruit,1/2 piece textural,f
122,Ice,6,f
123,Apple juice,1 can frozen,f
123,Strawberries,1 cup,f
123,Sugar,2 tblsp,f
123,Lemon,1,f
123,Apple,1,f
123,Soda water,1 L,f
123,Ice,,f
124,Jägermeister,1/2 oz,f
124,Sambuca,1/2 oz,f
124,Vodka,1/2 oz,f
125,Rum,2 shots,f
125,Apricot Nectar,1 shot,f
125,Pomegranate juice,1 shot,f
125,lemon,Juice of 1/2,f
125,Soda Water,Top,f
126,Coffee,1/2,f
126,Peach schnapps,1/2,f
127,Vodka,4.5 cl,f
127,Raspberry Liqueur,1.5 cl,f
127,pineapple juice,1.5 cl,f
128,Gin,1 oz,f
128,Lillet,1 oz,f
128,Sweet Vermouth,1 oz,f
128,Orange Peel,1,f
129,Firewater,1/2 oz,f
129,Absolut Peppar,1/2 oz,f
129,Tabasco sauce,1 dash,f
130,Gin,2 oz,f
130,Triple sec,1/2 oz,f
131,Light rum,1 1/2 oz,f
131,Triple sec,1 tblsp,f
131,Lime juice,1 1/2 oz,f
131,Sugar,1 tsp,f
131,Cherry,1,f
131,Ice,1 cup crushed,f
132,Yoghurt,1 cup,f
132,Fruit juice,1 cup,f
133,Scotch,1 oz,f
133,Sweet Vermouth,1 oz,f
133,Bitters,1 dash,f
133,Sugar syrup,1/4 tsp,f
134,Cognac,1 1/2 oz,f
134,Amaretto,3/4 oz,f
135,Amaretto,1 oz,f
135,Vodka,1 oz,f
135,151 proof rum,1 oz Bacardi,f
135,Dr. Pepper,1 oz,f
135,Beer,1 oz,f
136,Kahlua,1 oz,f
136,Sambuca,1 oz,f
136,Blue Curacao,1 oz,f
136,Baileys irish cream,1 oz,f
137,Sambuca,1/4 glass,f
137,Sarsaparilla,3/4 glass,f
138,Light rum,2 oz,f
138,Lime juice,1 tblsp,f
138,Mint,6,f
138,Sugar,1 tsp,f
139,Light rum,1 1/2 oz,f
139,Pineapple,4 chunks,f
139,Lime juice,1 tblsp,f
139,Sugar,1/2 tsp,f
140,Galliano,2 1/2 shots,f
140,Ginger ale,,f
140,Ice,,f
141,Gin,2 1/2 oz,f
141,Lime Juice,1/2 oz,f
141,Sugar Syrup,1/2 oz,f
141,Lime,1,f
142,Vodka,1 oz,f
142,Amaretto,1 oz,f
142,Heavy cream,1 oz,f
143,Gin,2 oz,f
143,Lemon,Juice of 1/2,f
143,Powdered sugar,1 tsp,f
143,Carbonated water,,f
144,Gin,2 oz,f
144,Lemon juice,1 oz,f
144,Sugar,1/2 tsp superfine,f
144,Orange,1,f
144,Maraschino cherry,1,f
145,Peach Vodka,5 parts,f
145,Lemon juice,3 parts,f
145,Galliano,1 part,f
145,Sirup of roses,1 part,f
146,Vodka,1 1/2 oz,f
146,Amaretto,3/4 oz,f
147,Scotch,1 1/2 oz,f
147,Amaretto,3/4 oz,f
148,Red wine,1 L,f
148,Water,125 ml,f
148,Sugar,60 gr,f
148,Cinnamon,1,f
148,Cloves,3,f
148,Lemon peel,1 tblsp,f
149,Gin,4 cl,f
149,Tonic Water,10 cl,f
149,Lemon Peel,1 Slice,f
149,Ice,cubes,f
150,Gin,2 oz,f
150,Water,2 tsp,f
150,Powdered sugar,1/2 tsp,f
150,Lemon peel,1 twist of,f
151,Gin,2 oz,f
151,Carbonated water,1 oz,f
151,Sugar,1 cube,f
151,Mint,4,f
151,Orange,1 slice,f
151,Cherry,1,f
152,Gin,2 oz,f
152,Lemon juice,1 oz,f
152,Sugar,1/2 tsp superfine,f
152,Grenadine,1/2 tsp,f
152,Maraschino cherry,1,f
152,Orange,1,f
153,Gin,6 cl,f
153,Lemon Juice,8 cl,f
153,Lemon Peel,1 Slice,f
153,Ice,cubes,f
154,Gin,2 oz,f
154,Lemon,Juice of 1/2,f
154,Powdered sugar,1 tsp,f
154,Water,1 tsp,f
154,Orange peel,Twist of,f
155,Vodka,1 1/2 oz,f
155,Grapefruit Juice,3 oz,f
156,Gin,2 oz,f
156,Grenadine,1 tsp,f
156,lemon,Juice of 1/2,f
156,Soda Water,Top up with,f
156,Lime,Garnish,f
